DOMAIN,DOMAIN_TYPE,DNS_SERVER,SPF,SPF_MULTIPLE_ALLS,SPF_NUM_DNS_QUERIES,SPF_TOO_MANY_DNS_QUERIES,DMARC,DMARC_POLICY,DMARC_PCT,DMARC_ASPF,DMARC_SP,DMARC_FORENSIC_REPORT,DMARC_AGGREGATE_REPORT,BIMI_RECORD,BIMI_VERSION,BIMI_LOCATION,BIMI_AUTHORITY,SPOOFING_POSSIBLE,SPOOFING_TYPE
"abmc.gov,Federal - Executive,American Battle Monuments Commission,American Battle Monuments Commission,Arlington,VA,itsec@abmc.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1; p=reject; pct=100; fo=1; rua=mailto:dmarcreports@abmc.gov,mailto:reports@dmarc.cyber.dhs.gov; ruf=mailto:dmarcreports@abmc.gov",reject,100,,,dmarcreports@abmc.gov,"dmarcreports@abmc.gov,reports@dmarc.cyber.dhs.gov",,,,,FALSE,"Spoofing is not possible for abmc.gov,Federal - Executive,American Battle Monuments Commission,American Battle Monuments Commission,Arlington,VA,itsec@abmc.gov."
"achp.gov,Federal - Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,Washington,DC,domainsecurity@achp.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1;p=reject; rua=mailto:reports@achp.gov,mailto:reports@dmarc.cyber.dhs.gov",reject,,,,,"reports@achp.gov,reports@dmarc.cyber.dhs.gov",,,,,FALSE,"Spoofing is not possible for achp.gov,Federal - Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,Washington,DC,domainsecurity@achp.gov."
"preserveamerica.gov,Federal - Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,Washington,DC,domainsecurity@achp.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1;p=reject; rua=mailto:reports@achp.gov,mailto:reports@dmarc.cyber.dhs.gov",reject,,,,,"reports@achp.gov,reports@dmarc.cyber.dhs.gov",,,,,FALSE,"Spoofing is not possible for preserveamerica.gov,Federal - Executive,Advisory Council on Historic Preservation,Advisory Council on Historic Preservation,Washington,DC,domainsecurity@achp.gov."
"americorpsoig.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps Office of Inspector General,Washington,DC,IT@cncsoig.gov",domain,1.1.1.1,,,0,FALSE,,,,,,,,,,,,TRUE,"Spoofing possible for americorpsoig.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps Office of Inspector General,Washington,DC,IT@cncsoig.gov."
"cncsoig.gov,Federal - Executive,Corporation for National and Community Service,""Corporation for National and Community Service, Office Of Inspector General,"",Washington,DC,IT@cncsoig.gov",domain,1.1.1.1,,,0,FALSE,,,,,,,,,,,,TRUE,"Spoofing possible for cncsoig.gov,Federal - Executive,Corporation for National and Community Service,""Corporation for National and Community Service, Office Of Inspector General,"",Washington,DC,IT@cncsoig.gov."
"adlnet.gov,Federal - Executive,Department of Defense,Advanced Distributed Learning Initiative,Washington,DC,cybersecurity@adlnet.gov",domain,1.1.1.1,,,0,FALSE,v=DMARC1; p=none; fo=1; rua=mailto:security@adlnet.gov; ruf=mailto:security@adlnet.gov,none,,,,security@adlnet.gov,security@adlnet.gov,,,,,,"Spoofing might be possible (Mailbox dependent) for adlnet.gov,Federal - Executive,Department of Defense,Advanced Distributed Learning Initiative,Washington,DC,cybersecurity@adlnet.gov."
"cap.gov,Federal - Executive,Department of Defense,Civil Air Patrol HQ,Maxwell AFB,AL,capadmin@capnhq.gov",domain,1.1.1.1,,,0,FALSE,v=DMARC1; p=none;,none,,,,,,,,,,,"Spoofing might be possible (Mailbox dependent) for cap.gov,Federal - Executive,Department of Defense,Civil Air Patrol HQ,Maxwell AFB,AL,capadmin@capnhq.gov."
"afrh.gov,Federal - Executive,Armed Forces Retirement Home,Armed Forces Retirement Home,Washington,DC,Stanley.Whitehead@afrh.gov",domain,1.1.1.1,,,0,FALSE,v=DMARC1; p=reject; rua=mailto:reports@dmarc.cyber.dhs.gov; pct=100,reject,100,,,,reports@dmarc.cyber.dhs.gov,,,,,FALSE,"Spoofing is not possible for afrh.gov,Federal - Executive,Armed Forces Retirement Home,Armed Forces Retirement Home,Washington,DC,Stanley.Whitehead@afrh.gov."
"acus.gov,Federal - Executive,Administrative Conference of the United States,Administrative Conference of the United States,Washington,DC,info@acus.gov",domain,1.1.1.1,,,0,FALSE,"v=DMARC1;p=reject;sp=reject;pct=100;rua=mailto:reports@dmarc.cyber.dhs.gov;ruf=mailto:reports@dmarc.cyber.dhs.gov,mailto:security@acus.gov;ri=86400;aspf=r;adkim=r;fo=1",reject,100,r,reject,"reports@dmarc.cyber.dhs.gov,security@acus.gov",reports@dmarc.cyber.dhs.gov,,,,,FALSE,"Spoofing is not possible for acus.gov,Federal - Executive,Administrative Conference of the United States,Administrative Conference of the United States,Washington,DC,info@acus.gov."
"capnhq.gov,Federal - Executive,Department of Defense,Civil Air Patrol HQ,Maxwell AFB,AL,capadmin@capnhq.gov",domain,1.1.1.1,,,0,FALSE,v=DMARC1; p=none;,none,,,,,,,,,,,"Spoofing might be possible (Mailbox dependent) for capnhq.gov,Federal - Executive,Department of Defense,Civil Air Patrol HQ,Maxwell AFB,AL,capadmin@capnhq.gov."
